"%s product requires your attention.","el producto %s requiere su atención."
"%s product was added to your shopping cart.","el producto %s se ha añadido a tu carro de la compra."
"%s products require your attention.","los productos %s requieren su atención."
"%s products were added to your shopping cart.","los productos %s se han añadido a su carro de la compra."
"%s was added to your shopping cart.","%s se ha añadido a su carro de la compra."
"<span id=""sku-attention-num"">%s</span> product(s) require attention","El/los producto(s) <span id=""sku-attention-num"">%s</span> requiere(n) su atención."
"Access denied.","Acceso denegado"
"Action","Acción"
"Add Products","Añadir productos"
"Add Products By SKU","Añadir productos por SKU"
"Add Products to Order","Añadir productos al pedido"
"Add Selected Product(s) to Shopping Cart","Añadir producto(s) seleccionado(s) a la Cesta de la Compra"
"Add To Cart","Añadir al carro de la compra"
"Add to Order","Añadir al pedido"
"Add to Order by SKU","Añadir al pedido por SKU"
"Add to Shopping Cart","Añadir al carro de la compra"
"Add to Shopping Cart by SKU","Añadir al carro de la compra por SKU"
"Allowed file type: csv.<br/>File must contain two columns, with ""sku"" and ""qty"" in the header row.","Tipo de fichero permitido: csv.<br/>El fichero tiene que contener dos columnas, con ""sku"" y ""cant."" en la cabecera."
"An error has occurred. See error log for details.","Ha ocurrido un error. Ver el registro de errores para conocer los detalles."
"Apply","Solicitar"
"Apply Coupon","Aplicar cupón"
"Apply Coupon Code","Usar el Código del Cupón"
"Are you sure you want to delete all items from shopping cart?","¿Seguro que quiere borrar todos los artículos del carro de la compra?"
"Availability: Out of stock.","Disponibilidad: agotado."
"Cancel","Cancelar"
"Cannot add product","No se puede añadir el producto"
"Cannot configure product","No se puede configurar el producto"
"Choose some products to add to shopping cart.","Escoja algunos productos para añadirlos al carro de la compra."
"Clear Shopping Cart","Vaciar carro de la compra"
"Configure","Configurar"
"Coupon code ""%s"" is not valid","El código de cupón ""%s"" no es válido"
"Customer Groups","Grupos de cliente"
"Customer not found","Cliente no encontrado"
"Customers","Clientes"
"Defines whether a link to My Account > Order by SKU page will be displayed on the widget","Define si un enlace a Mi Cuenta > Pedido por SKU se mostrará en el widget"
"Disabled products cannot be added.","Los productos no válidos no se pueden añadir."
"Discount","Descuento"
"Display a Link to Loading a Spreadsheet","Mostrar un enlace a Cargando una hoja de cálculo"
"Enable Order by SKU on My Account in Frontend","Habilitar pedido por SKU en Mi cuenta en la parte frontal"
"Excl. Tax","Impuestos no incluidos"
"Failed to add a product of order item","Fallo al añadir un producto de la partida"
"Failed to reorder item","Fallo al volver a realizar un pedido de artículo"
"File","Archivo"
"File cannot be uploaded.","No se ha podido cargar el fichero."
"File is corrupt.","El fichero está corrupto."
"File is empty.","El fichero está vacío."
"Get notified when back in stock","Recibir una notificación cuando vuelva a estar disponible."
"ID","Identificación"
"Incl. Tax","Impuestos incluidos"
"Invalid block: %s.","Bloque no válido: %s."
"Item was successfully removed.","Se ha eliminado correctamente el artículo."
"Items were successfully removed.","Los artículos se han eliminado correctamente."
"Last ordered items (%s)","Últimos artículos pedidos (%s)"
"Link Text","Texto de enlace"
"Load a list of SKUs","Cargar una lista de SKU"
"Manage Customers","Gestionar Clientes"
"Manage Shopping Cart","Gestionar la Cesta de la Compra"
"Move to Wishlist","Trasladar a la Lista de Deseos"
"No","No"
"No ordered items","No hay pedidos de artículos"
"Only %s%g%s left in stock","Solo hay %s%g%s disponibles"
"Only .csv file format is supported.","Solo está soportado el formato .csv  de archivo."
"Only <span id=""","Solo <span id="""
"Order by SKU","Pedido por SKU"
"Order by SKU Description","Descripción del Pedido por SKU"
"Order by SKU Settings","Ajustes del Pedido por SKU"
"Order by SKU Template","Plantilla del Pedido por SKU"
"Ordered item id is not received.","El id del artículo pedido no se ha recibido."
"Ordered item is not loaded.","El artículo pedido no está cargado."
"Please enter a valid number in the ""Qty"" field.","Por favor, introduzca un número válido en el campo ""Cant.""."
"Please specify the product\'s options.","Por favor, especifique las opciones de producto."
"Price","Precio"
"Product","Producto"
"Product Name","Nombre del producto"
"Product name","Nombre de producto"
"Products","Productos"
"Products in the Comparison List (%s)","(%s) Productos en la Lista de Comparación"
"Qty","Cantidad"
"Qty To Add","Cantidad a añadir"
"Quote item id is not received.","El artículo indicado no se ha recibido."
"Quote item is not loaded.","El artículo indicado no está cargado."
"Recently Compared Products (%s)","Productos recientemente comparados (%s)"
"Recently Viewed Products (%s)","Productos vistos recientemente (%s)"
"Remove","Eliminar"
"Remove All","Eliminar todo"
"Remove Coupon Code","Eliminar Código de Cupón"
"Requested quantity is not available.","La cantidad solicitada no está disponible."
"Reset","Reiniciar"
"Row Subtotal","Fila Subtotal"
"SKU","Número de referencia"
"SKU not found in catalog.","No se ha encontrado el SKU en el catálogo."
"SKU: ","SKU:"
"Shopping Cart","Cesta de la Compra"
"Shopping Cart Items","Elementos del Carro de la Compra"
"Shopping Cart Management","Gestión de la Cesta de la Compra"
"Shopping Cart for %s in %s","Cesta de la Compra para %s en %s"
"Shopping cart management disabled for this customer.","La gestión de la Cesta de la Compra para este cliente está desactivada."
"Specify the product\'s options","Especificar las opciones de producto"
"Store not found.","Tienda no encontrada."
"Subtotal","Subtotal"
"Subtotal:","Subtotal:"
"The product cannot be added to cart in requested quantity.","El producto no se puede añadir al carro en la cantidad solicitada."
"The product cannot be added to cart.","El producto no se puede añadir al carro."
"The products is assigned to another website.","Los productos están asignados a otra página web."
"The text of the link to the My Account > Order by SKU page","El texto del enlace a la página Mi cuenta > Pedido por SKU"
"Total","Total"
"Total %d product(s)","%d producto(s) en total"
"Total incl. tax","Total con impuestos incluidos"
"Update Items and Qty\'s","Actualizar artículos y cantidades"
"View Shopping Cart","Ver la Cesta de la Compra"
"View and modify Shopping Cart","Ver y modificar la Cesta de la Compra"
"Wishlist (%s)","Lista de deseos (%s)"
"Wishlist item id is not received.","El artículo de la lista de intención de compra no se ha recibido."
"Wishlist item is not loaded.","El artículo de la lista de intención de compra no está cargado."
"Yes, for Everyone","Si, para todos"
"Yes, for Specified Customer Groups","Si, para grupos de clientes específicos"
"You have %d item(s) requiring attention.","Tiene %d artículo(s) que requiere(n) su atención."
"You have not entered any product sku.","No ha introducido ningún sku de producto."
"You have not entered any product sku. Please <a href=""%s"">click here</a> to add product(s) by sku.","No ha introducido ningún sku de producto. Por favor, <a href=""%s"">pulse aquí</a> para añadir productos por sku."
