"Authorization","Autorisation"
"Authorization transaction is required to void.","Autorisation de transaction requise pour annuler"
"Data Transfer Key","Clé de transfert de données"
"Debug","Débogage"
"Direct Sale","Vente directe"
"Empty response received from Payment Bridge.","Réponse vide reçue de Payment Bridge."
"Enabled","Activé"
"Gateway Basic URL","Passerelle"
"Gives effect only when payment bridge is active.","Valide uniquement lorsque passerelle de paiement active."
"IPN postback HTTP error: %s","Erreur IPN postback HTTP: %s"
"IPN postback Validation error: %s","Erreur de validation IPN postback: %s"
"Impossible to issue a refund transaction, because capture transaction does not exist.","Impossible de procéder au remboursement de la transaction, car la transaction n'existe pas."
"Maximum data transfer key length is 32. Please correct your settings.","La longueur maximale pour un transfert de données est de 32. Veuillez corriger vos paramètres."
"Merchant Code","Code marchant"
"Merchant Key","Clé marchant"
"Merchant review is required for further processing.","La revue du marchand est nécessaire pour continuer."
"Ogone Direct Link","Lien direct Ogone"
"Original gateway transaction id: #%s.","Passerelle originelle identifiant de la transaction :  #%s"
"Payflow PNREF: #%s.","Payflow PNREF: #%s."
"Payment Action","Action de paiement"
"Payment Bridge","Passerelle de paiement"
"Payment Bridge Selected","Passerelle de paiement sélectionnée"
"Payment Bridge authentication data is not present","Données d'authentification de la passerelle de paiement absentes"
"Payment Method Code is not passed.","Code de méthode de paiement refusé."
"Payment from Applicable Countries","Paiement depuis les pays applicables"
"Payment from Specific Countries","Paiement depuis les pays spécifiques"
"Payment gateway internal error.","Passerelle de paiement : erreur interne"
"Sale","Vente"
"Sort Order","Trier la commande"
"Test Mode","Mode test"
"Title","Titre"
"Unable to communicate with Payment Bridge service.","Impossible de communiquer avec le service Passerelle de paiement"
"Use via Payment Bridge","Utiliser via la passerelle de paiment"
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #1E75B4"" href=""#"" onclick=""parent.reloadIframe(paymentObj.currentMethod); return false;"">here</a> .","Vos informations de paiement ont été envoyées au serveur. Si vous avez besoin d'effectuer des modifications, veuillez cliquer <a style=""color: #1E75B4""href=""#"">ici</a>"
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">here</a> .","Vos informations de paiement ont été envoyées au serveur. Si vous avez besoin d'effectuer des modifications, veuillez cliquer <a style=""color: #1E75B4""href=""#"">ici</a>"
