"Authorization","Autorização"
"Authorization transaction is required to void.","Autorização da transação é necessária para anular."
"Data Transfer Key","Chave de Transferência de Dados"
"Debug","Debug"
"Direct Sale","Venda Direta"
"Empty response received from Payment Bridge.","Resposta vazia recebida de Payment Bridge"
"Enabled","Ativado"
"Gateway Basic URL","URL de Porta de Entrada Básica"
"Gives effect only when payment bridge is active.","Dá efeito somente quando a ponte de pagamento está ativa."
"IPN postback HTTP error: %s","Erro IPN HTTP de postagem: %s"
"IPN postback Validation error: %s","Erro IPN de Validação de postagem: %s"
"Impossible to issue a refund transaction, because capture transaction does not exist.","Impossível emitir uma operação de reembolso, porque a transação de captura não existe."
"Maximum data transfer key length is 32. Please correct your settings.","Máximo comprimento da chave de transferência de dados é 32. Por favor Corrija suas configurações."
"Merchant Code","Código do Comerciante"
"Merchant Key","Chave do Comerciante"
"Merchant review is required for further processing.","A revisão do negociante é necessária para seguir com o processamento."
"Ogone Direct Link","Libk direto Ogone"
"Original gateway transaction id: #%s.","Identidade da transação da entrada original: #%s."
"Payflow PNREF: #%s.","Playfow PNREF: #%s."
"Payment Action","Ação de Pagamento"
"Payment Bridge","Ponte de Pagamento"
"Payment Bridge Selected","Ponte de Pagamento Selecionada"
"Payment Bridge authentication data is not present","Dados de autenticação de Ponte de Pagamento não estão presentes"
"Payment Method Code is not passed.","Código de Método de Pagamento não transmitido."
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento de Países Específicos"
"Payment gateway internal error.","Erro interno de entrada de pagamento."
"Sale","Venda"
"Sort Order","Classificar pedido"
"Test Mode","Modo de Teste"
"Title","Título"
"Unable to communicate with Payment Bridge service.","Incapaz de se comunicar com o serviço de Ponte de Pagamento."
"Use via Payment Bridge","Use via Ponte de Pagamento"
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #1E75B4"" href=""#"" onclick=""parent.reloadIframe(paymentObj.currentMethod); return false;"">here</a> .","A informação do seu pagamento foi submetida ao servidor. Se precisar fazer alterações, por favor clique <a style=""color: #1E75B4"" href=""#"" onclick=""parent.reloadIframe(paymentObj.currentMethod); return false;"">aqui</a> ."
"Your payment information has been submitted to the server. If you need to make changes, please click <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">here</a> .","A informação do seu pagamento foi submetida ao servidor. Se precisar fazer alterações, por favor clique <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">aqui</a> ."
